;;;;
bewolkt. Doeken open. 4500 lux;;;;
;open;wit;transparant;open
417;5,35384E-02;3,83586E-03;4,85343E-02;5,42811E-02
418;5,28145E-02;4,26409E-03;4,70441E-02;5,36486E-02
419;5,31330E-02;3,98025E-03;4,79707E-02;5,53955E-02
420;5,50693E-02;4,75247E-03;4,81252E-02;5,66602E-02
421;5,47840E-02;4,49808E-03;4,82388E-02;5,56751E-02
422;5,30426E-02;4,51373E-03;4,85230E-02;5,61439E-02
423;5,34196E-02;4,29710E-03;4,79397E-02;5,50898E-02
424;5,32238E-02;4,36741E-03;4,88707E-02;5,51758E-02
425;5,54570E-02;4,13925E-03;4,96648E-02;5,47427E-02
426;5,48319E-02;4,22774E-03;4,80941E-02;5,31197E-02
427;5,28539E-02;4,48352E-03;4,81256E-02;5,31005E-02
428;5,15175E-02;4,27990E-03;4,57485E-02;5,21178E-02
429;4,92446E-02;4,20909E-03;4,21652E-02;4,85023E-02
430;4,91939E-02;3,83105E-03;4,27714E-02;4,76070E-02
431;5,07461E-02;4,42552E-03;4,59784E-02;5,30579E-02
432;5,47041E-02;4,66942E-03;4,90921E-02;5,62979E-02
433;5,55947E-02;4,64852E-03;5,12535E-02;5,77748E-02
434;5,87864E-02;4,89596E-03;5,23541E-02;5,90383E-02
435;6,08482E-02;4,86650E-03;5,30910E-02;6,25291E-02
436;6,26725E-02;5,10686E-03;5,64521E-02;6,24583E-02
437;6,14969E-02;4,90695E-03;5,51941E-02;6,23753E-02
438;6,10714E-02;5,18485E-03;5,41772E-02;6,12005E-02
439;6,13851E-02;5,09305E-03;5,41402E-02;6,18907E-02
440;6,19742E-02;5,18051E-03;5,53662E-02;6,31397E-02
441;6,31745E-02;5,37978E-03;5,67530E-02;6,45514E-02
442;6,49920E-02;5,15480E-03;5,78418E-02;6,34121E-02
443;6,45038E-02;5,37926E-03;5,85266E-02;6,63027E-02
444;6,45856E-02;5,37949E-03;5,67173E-02;6,54547E-02
445;6,38529E-02;5,26398E-03;5,72986E-02;6,70777E-02
446;6,58958E-02;5,84102E-03;5,86967E-02;6,64294E-02
447;6,97825E-02;5,88296E-03;5,97297E-02;7,03326E-02
448;7,09934E-02;6,41291E-03;6,36892E-02;7,38067E-02
449;7,59473E-02;6,50181E-03;6,76153E-02;7,60019E-02
450;7,70486E-02;6,75535E-03;6,78541E-02;7,90855E-02
451;7,51656E-02;6,96738E-03;6,78223E-02;7,71960E-02
452;7,31803E-02;6,54772E-03;6,51128E-02;7,31657E-02
453;7,14402E-02;6,15220E-03;6,28373E-02;7,09146E-02
454;7,12548E-02;6,18330E-03;6,33988E-02;7,04696E-02
455;7,10404E-02;6,48365E-03;6,27193E-02;7,24084E-02
456;6,95644E-02;6,03955E-03;6,32810E-02;7,17099E-02
457;7,06613E-02;6,35969E-03;6,20329E-02;7,17749E-02
458;6,81241E-02;6,39041E-03;6,10606E-02;7,02939E-02
459;6,93861E-02;6,05641E-03;6,13391E-02;6,83712E-02
460;6,93656E-02;6,06059E-03;6,20343E-02;7,08122E-02
461;7,11126E-02;6,51706E-03;6,43570E-02;7,34012E-02
462;7,22826E-02;6,52174E-03;6,60743E-02;7,31402E-02
463;7,39541E-02;6,75518E-03;6,64744E-02;7,52488E-02
464;7,66399E-02;6,57458E-03;6,73984E-02;7,78706E-02
465;8,24474E-02;7,52635E-03;7,18075E-02;8,44231E-02
466;8,98320E-02;8,03541E-03;7,86654E-02;8,93355E-02
467;9,04550E-02;8,07373E-03;7,94763E-02;9,21028E-02
468;8,53426E-02;7,35321E-03;7,76705E-02;8,77020E-02
469;7,82225E-02;7,37868E-03;7,18750E-02;8,02582E-02
470;7,52735E-02;7,01339E-03;6,72463E-02;7,60038E-02
471;7,13647E-02;6,57858E-03;6,54198E-02;7,25049E-02
472;7,09036E-02;6,74700E-03;6,46658E-02;7,09353E-02
473;7,11628E-02;6,64509E-03;6,38623E-02;7,43020E-02
474;7,24794E-02;7,16290E-03;6,61120E-02;7,30822E-02
475;7,18379E-02;6,60715E-03;6,49860E-02;7,22973E-02
476;6,91639E-02;6,39667E-03;6,37614E-02;7,36829E-02
477;6,80032E-02;6,30452E-03;6,23608E-02;7,02098E-02
478;6,74116E-02;6,30149E-03;6,02045E-02;6,96371E-02
479;6,83715E-02;6,17710E-03;6,20136E-02;6,96349E-02
480;6,81794E-02;6,36479E-03;6,03348E-02;7,08275E-02
481;6,92106E-02;6,52234E-03;6,20512E-02;7,14351E-02
482;6,89300E-02;6,42875E-03;6,09436E-02;6,99338E-02
483;6,80285E-02;6,34139E-03;6,07120E-02;6,88515E-02
484;6,50004E-02;5,99843E-03;5,85710E-02;6,57975E-02
485;6,19409E-02;5,86987E-03;5,63347E-02;6,37233E-02
486;6,14102E-02;5,67556E-03;5,48711E-02;6,26908E-02
487;6,15310E-02;5,88547E-03;5,54438E-02;6,28224E-02
488;6,56387E-02;6,04997E-03;5,86245E-02;6,54815E-02
489;6,71183E-02;6,45737E-03;6,06587E-02;6,94347E-02
490;6,85785E-02;6,61170E-03;6,16601E-02;6,94759E-02
491;6,80195E-02;6,68661E-03;6,35463E-02;6,97277E-02
492;6,92464E-02;6,60707E-03;6,18516E-02;6,98404E-02
493;6,91138E-02;6,63325E-03;6,21156E-02;7,13395E-02
494;7,20639E-02;6,99439E-03;6,48506E-02;7,54599E-02
495;8,12358E-02;7,84024E-03;7,24964E-02;8,22621E-02
496;1,01582E-01;9,94627E-03;9,07356E-02;1,04781E-01
497;1,28205E-01;1,25816E-02;1,12201E-01;1,29970E-01
498;1,36930E-01;1,32295E-02;1,18475E-01;1,37630E-01
499;1,23015E-01;1,22640E-02;1,07118E-01;1,23171E-01
500;9,61034E-02;9,28770E-03;8,40619E-02;9,74573E-02
501;7,78854E-02;7,59410E-03;6,84413E-02;7,80824E-02
502;6,92064E-02;7,09395E-03;6,24949E-02;7,15143E-02
503;6,68657E-02;6,55476E-03;6,14302E-02;6,74721E-02
504;6,60087E-02;6,63898E-03;5,94428E-02;6,84033E-02
505;6,68997E-02;6,86251E-03;6,01466E-02;6,67204E-02
506;6,68649E-02;6,73798E-03;6,06319E-02;6,81860E-02
507;6,62213E-02;6,81198E-03;6,09530E-02;6,80045E-02
508;6,55236E-02;6,80044E-03;5,93648E-02;6,76946E-02
509;6,53758E-02;7,16257E-03;5,94270E-02;6,81838E-02
510;6,65050E-02;7,08330E-03;6,06302E-02;6,88358E-02
511;6,70577E-02;7,14635E-03;6,06735E-02;6,90031E-02
512;6,68958E-02;7,10794E-03;6,07259E-02;6,87156E-02
513;7,16129E-02;7,66972E-03;6,44270E-02;7,31016E-02
514;7,89706E-02;8,72554E-03;7,04864E-02;8,00669E-02
515;8,00128E-02;8,51258E-03;7,18524E-02;7,96249E-02
516;7,37950E-02;7,95066E-03;6,76500E-02;7,54334E-02
517;6,58539E-02;7,24426E-03;6,00002E-02;6,71064E-02
518;6,24569E-02;6,78543E-03;5,74312E-02;6,41879E-02
519;6,37341E-02;7,31800E-03;5,89765E-02;6,36135E-02
520;6,42822E-02;7,48832E-03;5,89710E-02;6,64085E-02
521;6,69564E-02;7,83966E-03;6,00189E-02;6,68846E-02
522;6,63176E-02;7,76452E-03;6,07456E-02;6,75835E-02
523;6,62206E-02;8,01654E-03;6,10614E-02;6,82604E-02
524;6,59782E-02;7,95736E-03;6,01493E-02;6,80670E-02
525;6,60110E-02;7,88976E-03;5,99410E-02;6,74890E-02
526;6,52316E-02;7,98379E-03;5,98016E-02;6,61404E-02
527;6,63104E-02;7,96202E-03;5,97946E-02;6,69642E-02
528;6,73211E-02;8,38721E-03;6,10775E-02;6,75972E-02
529;6,86532E-02;8,50705E-03;6,28109E-02;6,99914E-02
530;6,89383E-02;8,58405E-03;6,30874E-02;7,14233E-02
531;6,86504E-02;8,76464E-03;6,15057E-02;7,05720E-02
532;6,79558E-02;8,71036E-03;6,23351E-02;7,07533E-02
533;6,71538E-02;8,58091E-03;6,08230E-02;6,87712E-02
534;6,91438E-02;8,89158E-03;6,24407E-02;7,12097E-02
535;6,84110E-02;8,98382E-03;6,30353E-02;6,98066E-02
536;6,84817E-02;9,06400E-03;6,31565E-02;7,19388E-02
537;6,81803E-02;8,71990E-03;6,32840E-02;7,07790E-02
538;6,71755E-02;8,91272E-03;6,28252E-02;6,93699E-02
539;6,76284E-02;9,10263E-03;6,07628E-02;6,90539E-02
540;6,62053E-02;8,84537E-03;6,07333E-02;6,82659E-02
541;6,72699E-02;8,64587E-03;6,13800E-02;6,94891E-02
542;6,75833E-02;9,06776E-03;6,25095E-02;6,99661E-02
543;6,88849E-02;9,05878E-03;6,22687E-02;6,98636E-02
