,,,,,,
,,,,,,
,,,,,,
Name,#5,#6,#1,Kas 4,#3,#4
Correction,UV,UV,UV,UV,UV,UV
Date,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017
400,5.20286E-04,1.49954E-03,6.36004E-04,5.65023E-04,8.36432E-03,2.90382E-02
401,6.25836E-04,1.50359E-03,7.21830E-04,5.80005E-04,8.70334E-03,3.01892E-02
402,1.58066E-03,1.77206E-03,1.77312E-03,6.21958E-04,9.07626E-03,3.02865E-02
403,4.20591E-03,2.06902E-03,5.04673E-03,7.40139E-04,9.25378E-03,3.01432E-02
404,5.24742E-03,2.17048E-03,6.38643E-03,8.03421E-04,9.30962E-03,2.95843E-02
405,4.40667E-03,2.34992E-03,5.44871E-03,8.13881E-04,9.34431E-03,2.94841E-02
406,2.52592E-03,2.41725E-03,3.07215E-03,7.69455E-04,9.20673E-03,2.92813E-02
407,1.38472E-03,2.63544E-03,1.45503E-03,8.14613E-04,9.43282E-03,2.97782E-02
408,1.04445E-03,2.86160E-03,1.12964E-03,7.92338E-04,9.67963E-03,3.03882E-02
409,8.57263E-04,3.21936E-03,9.99665E-04,9.17320E-04,9.71112E-03,3.01760E-02
410,8.57467E-04,3.59364E-03,9.24778E-04,9.63614E-04,9.96059E-03,3.06362E-02
411,7.83768E-04,4.20874E-03,8.58519E-04,1.04958E-03,1.03459E-02,3.15243E-02
412,8.28160E-04,4.81756E-03,9.73707E-04,1.06985E-03,1.05605E-02,3.22298E-02
413,9.02846E-04,5.55512E-03,1.01621E-03,1.15130E-03,1.06493E-02,3.20719E-02
414,8.96224E-04,6.54925E-03,1.02028E-03,1.22526E-03,1.08110E-02,3.23365E-02
415,9.27555E-04,7.52635E-03,1.09986E-03,1.32031E-03,1.09203E-02,3.24727E-02
416,9.44419E-04,8.74532E-03,1.16625E-03,1.41523E-03,1.09075E-02,3.22423E-02
417,9.58154E-04,1.02378E-02,1.11212E-03,1.50903E-03,1.08120E-02,3.16882E-02
418,9.24820E-04,1.19385E-02,1.12425E-03,1.64345E-03,1.06708E-02,3.13133E-02
419,9.50249E-04,1.36487E-02,1.13903E-03,1.75016E-03,1.07826E-02,3.13028E-02
420,1.07267E-03,1.59191E-02,1.15155E-03,1.91293E-03,1.10273E-02,3.18999E-02
421,1.03796E-03,1.82150E-02,1.21782E-03,2.08573E-03,1.10425E-02,3.17587E-02
422,1.05659E-03,2.08080E-02,1.26367E-03,2.24414E-03,1.09894E-02,3.14994E-02
423,1.08349E-03,2.34926E-02,1.33583E-03,2.40388E-03,1.08871E-02,3.10450E-02
424,1.15620E-03,2.64039E-02,1.27313E-03,2.64483E-03,1.09502E-02,3.10319E-02
425,1.18214E-03,2.95401E-02,1.34836E-03,2.88671E-03,1.10046E-02,3.10973E-02
426,1.17784E-03,3.25205E-02,1.37400E-03,3.09193E-03,1.08380E-02,3.02914E-02
